seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
082e0bf4cb865a6533b1e8e498cc0255,SP,4,10,7,753.1,54,0
08633c14ef2db992c11f840f04fad4cd,SP,6,6,4,444.4,1,0
0885aaf116795758dfeb5f1032487bcd,SP,2,2,2,194.8,12,0
0887a9f087bcd5d9f6642b52f897fc6c,SP,12,12,3,1642.0,179,1
08d0949a9a17c027262db1f3c450c26c,PR,4,4,4,96.6,8,0
08d2d642cf72b622b14dde1d2f5eb2f5,SP,16,20,7,908.9999999999999,56,1
091065b789659bc3cd9af9cb3a6253ff,RS,2,2,1,1359.0,13,1
0936e1837d0c79253456bbb2ffaaef10,SP,1,2,1,38.9,294,1
093805f8f2aeb63881444571e1f48f30,SP,22,27,18,1215.79,0,1
09883d9ab71c8fe8a9bfc7fc3075b07e,SP,4,4,4,269.6,73,1
099095b050cfe8eb1ddff5317587e96e,SP,2,2,1,1728.99,11,0
09f952a5f58d2285b0372551ae8f9b01,SP,11,12,7,2993.3499999999995,5,0
0ac4201fda2c68ebc0e47cb9423cf3c9,SP,6,6,3,597.95,7,0
0ad80de75c811326389cfb1daba7d45e,RJ,6,6,6,1449.4,23,1
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,67,89,46,9820.089999999984,2,0
0ade5cc4a305ed7093a23f68ca47519c,PR,2,2,2,158.88,9,1
0aea4c6ae1505b3228ddf3dd7822ee5b,SP,3,3,3,715.96,24,0
0afccdb8a34ee5c79f7c06faf2b4d56e,MG,22,22,10,1105.7999999999997,34,0
0b18d63d0cd1d723567903fd34a07df2,SP,7,11,7,1258.44,11,0
0b35c634521043bf4b47e21547b99ab5,PR,11,16,14,3732.69,0,0
0b3f27369a4d8df98f7eb91077e438ac,SP,2,2,2,146.51,70,1
0b46f784306be7200ca1700aa55d819f,MG,1,1,1,19.9,318,1
0b90b6df587eb83608a64ea8b390cf07,PR,56,71,24,10289.660000000002,0,0
0bae85eb84b9fb3bd773911e89288d54,SP,92,99,38,5127.599999999997,0,0
0bb27263628258b8111a0262769fa9db,SP,1,1,1,22.2,305,1
0bb738e4d789e63e2267697c42d35a2d,SP,21,22,4,1461.9,2,0
0be8ff43f22e456b4e0371b2245e4d01,SP,88,100,66,6451.299999999992,0,0
0bf0150d5b9d60d9cd2906003332f085,SP,32,54,12,4845.299999999999,15,0
0bfd0b434243adc5c2e1aa6baf19c6aa,RJ,5,5,5,286.3,49,0
0c7533c71df861ec58ad7ff999ed0e8d,SP,36,45,21,1630.9000000000005,3,0
0c7f30ae9b147eca07affbef92832a6a,PR,5,5,4,479.5,289,1
0c8380b62e38e8a1e6adbeba7eb9688c,MG,143,172,65,14051.999999999969,16,0
0cbcee27c791afa0cdcb08587a2013a8,MG,17,19,8,2553.0,14,0
0d33a55da925bbf1ff02af5f6059fc7f,SP,3,3,1,32.7,65,0
0d4c8269e7f0401201794deef160edd6,SP,3,4,4,792.64,85,1
0d83f8e03188682112cc0d93523705cc,RS,4,8,2,696.2599999999999,9,1
0d85bbda9889ce1f7e63778d24f346eb,MG,46,48,15,3769.200000000003,20,0
0db783cfcd3b73998abc6e10e59a102f,SP,108,111,12,7699.599999999997,0,0
0dd184061fb0eaa7ca37932c68ab91c5,SP,19,19,4,1853.0,5,0
0df3984f9dfb3d49ac6366acbd3bbb85,MG,44,44,19,5635.8399999999965,0,0
0e44d110fa6a54e121cb2c095a77762f,SP,5,5,5,189.24,48,0
0e982cff76cc0579f632cea8a0e38c9d,SC,2,2,2,361.0,3,0
0ea22c1cfbdc755f86b9b54b39c16043,MG,175,199,118,7993.69999999997,8,0
0eaa7e33d73809f1f925f7d07c506cbd,SP,12,12,11,1273.0,0,0
0ebd97a106433a45a4aebe57c1799778,MG,19,20,7,2038.000000000001,0,0
0ed6ce5d87fd9c69eaacaeb778d67235,SP,9,9,5,673.0999999999999,18,0
0ee4fb99ac55ffbbc98795aa01b7f8fa,SP,1,1,1,59.9,275,1
