sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
BA	Uauá	2024	26.33	57.03	0	21.62	41.59	14	2.01	70
MG	Alpinópolis	2024	54.03	92.17	50	26.78	57.33	26	26.80	57
MG	Araponga	2024	32.67	54.58	0	30.42	42.61	38	14.48	11
MG	Arceburgo	2024	51.18	97.20	0	16.05	58.34	63	52.95	14
MG	Braúnas	2024	37.80	48.89	50	33.52	38.99	32	1.17	39
MG	Catas Altas	2024	64.40	94.62	50	52.93	63.41	62	62.06	18
MG	Confins	2024	88.37	99.92	100	78.17	100.00	66	72.79	63
MG	Conselheiro Pena	2024	59.38	86.25	100	23.68	60.76	35	28.84	61
MG	Icaraí de Minas	2024	37.63	59.24	50	22.91	26.99	8	0.11	71
MG	Jacutinga	2024	46.66	95.41	0	20.60	57.69	31	14.02	67
MG	Leme do Prado	2024	39.93	62.42	0	56.99	51.20	16	4.90	28
MG	Marilac	2024	41.41	88.05	0	34.72	57.75	40	1.68	30
MG	Matias Cardoso	2024	28.54	57.51	0	22.28	51.11	50	19.47	13
MG	Morro da Garça	2024	48.84	78.47	50	61.53	50.97	2	2.05	73
MG	Nova Era	2024	61.54	91.19	100	22.46	57.14	51	48.59	35
MG	Palma	2024	47.60	90.62	0	43.54	49.11	52	3.57	80
MG	Palmópolis	2024	38.50	73.53	0	31.38	48.51	44	17.14	39
MG	Pequi	2024	71.34	84.67	100	58.71	46.72	60	66.87	63
MG	Pompéu	2024	43.55	92.13	0	27.86	59.77	23	49.96	44
MG	São Domingos das Dores	2024	46.38	83.38	0	25.96	41.51	31	39.50	52
MG	Senador Amaral	2024	62.11	82.71	50	30.97	85.89	8	67.01	43
MG	Serro	2024	55.39	74.91	100	28.82	49.24	45	36.74	18
ES	Pedro Canário	2024	64.04	96.57	100	38.55	64.28	20	1.53	77
ES	Vila Pavão	2024	61.70	66.79	100	75.29	54.94	24	9.63	74
RJ	Barra Mansa	2024	70.73	99.12	100	21.19	60.35	63	50.67	83
RJ	Cabo Frio	2024	76.03	99.67	100	31.07	78.04	59	82.19	77
RJ	Laje do Muriaé	2024	44.92	80.53	100	6.59	8.04	28	17.73	25
RJ	Mangaratiba	2024	86.36	94.80	100	82.52	87.17	65	93.03	80
RJ	Maricá	2024	72.10	99.63	100	20.99	75.40	62	40.18	72
SP	Álvares Machado	2024	67.83	98.02	100	12.39	45.75	50	54.17	72
SP	Ariranha	2024	65.39	99.13	100	39.20	63.83	30	28.68	11
SP	Bauru	2024	81.19	99.93	100	21.57	74.55	74	98.21	78
SP	Itajobi	2024	62.27	94.66	100	25.83	62.06	28	42.95	55
SP	Jundiaí	2024	79.18	99.80	100	24.11	78.50	58	83.88	71
SP	Nipoã	2024	68.55	97.40	100	51.44	56.08	35	41.62	41
SP	Orindiúva	2024	67.99	99.60	50	81.37	70.23	32	34.83	55
SP	Piquerobi	2024	65.36	82.34	100	100.00	60.52	58	34.89	36
SP	Pradópolis	2024	67.61	98.19	100	31.78	66.79	56	29.58	56
SP	Ribeirão Corrente	2024	74.35	93.23	100	53.12	53.45	66	64.01	53
SP	Sabino	2024	50.68	97.50	0	57.86	62.24	37	12.58	26
SP	Salto de Pirapora	2024	71.83	97.47	100	23.26	69.52	36	63.54	49
SP	Silveiras	2024	50.11	80.96	0	79.20	55.85	26	37.34	55
SP	Ubarana	2024	66.95	98.26	100	27.49	47.59	51	62.96	5
PR	Cerro Azul	2024	45.47	46.02	100	21.55	42.06	35	9.78	69
PR	Cruzeiro do Iguaçu	2024	47.90	78.56	0	47.95	64.35	46	0.48	80
