sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
RO	Santa Luzia D'Oeste	2024	49.92	62.98	100	25.39	44.00	51	23.87	47
AC	Marechal Thaumaturgo	2024	16.28	30.35	0	8.36	36.72	16	8.04	33
AM	Caapiranga	2024	29.17	50.91	50	17.47	26.62	7	0.65	71
AM	Juruá	2024	20.06	53.33	0	13.45	36.33	36	5.85	19
PA	Baião	2024	34.08	52.82	100	6.26	20.46	15	2.85	52
PA	Porto de Moz	2024	20.54	44.82	0	5.72	32.96	29	7.69	72
TO	Filadélfia	2024	33.71	58.21	50	19.17	49.99	9	1.85	70
TO	Jaú do Tocantins	2024	45.29	50.89	100	58.77	41.38	11	12.93	43
TO	Pindorama do Tocantins	2024	35.01	68.55	50	21.76	45.65	2	2.88	70
MA	Belágua	2024	40.34	66.49	100	17.21	30.83	2	6.40	41
MA	Fortaleza dos Nogueiras	2024	44.39	62.99	100	7.72	49.06	50	4.02	76
MA	Porto Franco	2024	53.05	81.00	100	8.16	55.71	66	26.19	70
PI	Novo Santo Antônio	2024	39.40	50.20	50	51.98	53.64	4	0.35	55
PI	São Francisco do Piauí	2024	39.94	44.89	100	27.76	47.82	1	10.04	10
PI	São João do Piauí	2024	47.18	71.75	100	15.88	50.83	15	28.11	55
PI	São José do Divino	2024	40.80	63.55	50	30.57	49.56	8	0.10	70
CE	Cascavel	2024	65.35	95.43	100	20.95	57.60	67	43.73	79
CE	Catunda	2024	41.15	65.44	50	32.36	35.09	32	35.15	6
CE	Granja	2024	48.95	65.35	100	16.18	32.86	61	9.14	71
CE	Salitre	2024	37.75	60.27	50	17.42	31.04	32	4.81	50
RN	Bodó	2024	36.42	62.52	0	63.48	19.24	63	14.71	57
RN	Natal	2024	80.11	100.00	100	39.79	75.13	69	70.20	72
RN	Santana do Matos	2024	31.05	47.80	50	11.77	34.97	43	6.79	45
PB	Borborema	2024	47.49	97.99	0	35.45	53.57	35	0.18	67
PB	Cacimbas	2024	29.50	38.46	0	26.75	25.90	29	0.07	71
PB	Poço de José de Moura	2024	50.94	91.06	50	24.27	36.96	13	23.42	65
PB	Salgado de São Félix	2024	29.93	56.30	0	17.01	27.62	41	18.41	62
PE	Escada	2024	61.95	93.47	100	15.26	56.24	35	32.36	49
PE	Ferreiros	2024	49.74	99.46	50	12.66	31.31	9	24.00	49
PE	Iati	2024	25.37	52.86	0	17.04	58.23	4	3.41	15
PE	Iguaraci	2024	36.65	63.87	0	35.19	35.86	48	0.73	78
PE	São Lourenço da Mata	2024	68.40	99.36	100	25.90	55.13	65	28.10	63
PE	Verdejante	2024	27.31	58.37	0	10.56	24.69	40	21.37	36
AL	Piranhas	2024	45.68	81.04	50	19.52	47.59	45	12.64	58
BA	América Dourada	2024	60.08	91.91	100	28.88	80.12	20	18.10	19
BA	Aurelino Leal	2024	41.07	79.80	50	17.53	45.08	6	12.53	39
BA	Botuporã	2024	35.36	48.14	50	13.15	36.13	54	1.71	71
BA	Canudos	2024	28.42	61.40	0	18.01	44.65	59	0.21	70
BA	Jussara	2024	50.76	83.43	100	17.69	42.98	45	19.62	50
BA	Riachão das Neves	2024	22.85	52.51	0	15.68	31.79	42	10.01	37
BA	Sebastião Laranjeiras	2024	22.37	42.10	0	15.61	25.92	47	0.86	66
BA	Teolândia	2024	30.68	56.04	50	6.28	32.39	5	4.13	17
MG	Águas Vermelhas	2024	40.47	85.92	50	17.26	41.69	31	14.74	16
MG	Andradas	2024	57.75	90.90	50	21.29	58.51	48	61.21	18
MG	Campanha	2024	47.10	96.38	0	18.37	55.39	44	15.69	59
MG	Catas Altas da Noruega	2024	39.68	58.28	0	47.76	45.14	38	5.97	58
MG	Felisburgo	2024	31.09	76.88	0	22.75	44.90	44	9.48	26
MG	Juramento	2024	36.72	74.91	0	52.42	40.59	7	0.92	67
MG	Malacacheta	2024	54.62	75.07	100	11.27	48.38	47	28.67	41
MG	Perdões	2024	70.14	97.99	100	31.83	63.69	28	61.67	45
MG	Poté	2024	51.91	71.40	100	25.45	46.79	41	8.87	41
MG	Santos Dumont	2024	72.09	96.19	100	20.74	56.61	59	66.22	70
MG	São Francisco	2024	53.17	83.27	100	19.36	53.70	26	6.87	62
MG	São João da Lagoa	2024	32.07	67.64	0	40.40	47.35	16	2.42	48
MG	São João do Pacuí	2024	38.39	71.67	0	49.36	43.12	0	0.43	79
MG	São José do Divino	2024	34.55	74.70	0	42.84	48.44	47	5.36	23
ES	Brejetuba	2024	55.34	63.65	100	29.32	50.56	4	30.71	49
RJ	Duas Barras	2024	60.09	76.67	100	26.42	48.93	56	40.62	64
RJ	Engenheiro Paulo de Frontin	2024	67.37	84.33	100	47.44	61.31	64	3.48	80
SP	Arandu	2024	69.44	93.52	100	56.74	52.56	29	65.21	56
SP	Borborema	2024	67.52	96.87	100	41.62	65.33	19	65.70	32
SP	Buri	2024	58.82	85.78	100	14.51	53.44	16	58.04	63
SP	Caconde	2024	59.06	79.29	100	14.48	52.50	52	40.57	65
SP	Cedral	2024	68.77	91.69	100	26.60	64.50	62	61.65	16
SP	Iaras	2024	54.56	68.39	100	54.50	34.02	31	23.01	49
SP	Indiana	2024	63.45	96.24	50	48.16	66.00	30	53.17	49
SP	Irapuru	2024	57.37	97.53	100	27.99	48.85	63	28.55	61
SP	Itirapuã	2024	69.27	90.31	100	25.59	78.52	36	67.31	69
SP	Jarinu	2024	80.01	99.45	100	35.42	79.22	51	74.15	81
SP	José Bonifácio	2024	67.27	97.71	100	21.13	64.81	55	57.17	25
SP	Júlio Mesquita	2024	63.73	98.54	100	34.82	54.05	44	14.33	60
SP	Mirassolândia	2024	58.44	95.08	50	41.92	62.27	50	34.53	43
SP	Natividade da Serra	2024	56.88	68.11	50	100.00	57.36	37	9.95	79
SP	Palmares Paulista	2024	66.11	99.77	100	15.45	62.76	36	34.84	48
SP	Pardinho	2024	78.26	95.53	100	33.87	65.59	52	100.00	48
SP	São José do Barreiro	2024	58.63	81.78	50	76.96	55.69	26	66.12	76
SP	São José do Rio Preto	2024	79.86	99.99	100	20.83	76.08	72	81.21	76
SP	Taboão da Serra	2024	73.18	100.00	100	13.19	62.04	67	61.71	69
SP	Vera Cruz	2024	65.65	95.37	100	29.14	55.61	51	24.04	69
PR	Arapongas	2024	74.69	99.16	100	21.39	63.99	59	68.09	86
PR	Bom Sucesso	2024	63.22	90.03	100	37.44	65.11	51	11.12	54
PR	Califórnia	2024	67.03	92.53	100	33.63	61.28	49	16.48	75
PR	Cruzmaltina	2024	62.01	69.14	100	69.06	70.47	6	11.91	64
PR	Guaraqueçaba	2024	37.54	56.28	0	80.28	46.68	44	2.44	62
PR	Marechal Cândido Rondon	2024	71.95	93.93	100	17.20	61.90	53	82.34	59
PR	Palmeira	2024	63.84	76.53	100	30.17	58.03	48	45.51	83
PR	Pontal do Paraná	2024	79.43	95.71	100	50.89	91.23	64	58.26	45
PR	São José da Boa Vista	2024	47.02	72.39	50	49.50	41.25	25	19.88	20
PR	São Pedro do Iguaçu	2024	62.61	87.77	50	52.00	51.45	59	43.99	57
PR	São Sebastião da Amoreira	2024	65.75	96.65	100	18.52	51.53	53	35.90	58
SC	Água Doce	2024	57.99	62.57	100	45.28	52.21	50	54.75	55
SC	Atalanta	2024	55.24	72.81	100	30.58	20.96	43	39.83	43
SC	Guarujá do Sul	2024	71.65	85.75	100	30.62	68.23	57	53.28	64
SC	Ipumirim	2024	55.11	54.64	100	24.80	47.00	48	64.07	29
SC	Maravilha	2024	75.49	95.24	100	18.24	64.55	65	79.39	65
SC	Nova Veneza	2024	79.06	92.58	100	35.80	86.86	55	81.26	72
SC	Novo Horizonte	2024	65.07	55.88	100	74.91	85.32	29	9.36	57
SC	Santa Rosa do Sul	2024	60.61	84.48	50	24.30	81.34	54	56.30	32
SC	Urubici	2024	66.30	70.72	100	31.68	65.59	58	100.00	61
SC	Xaxim	2024	64.46	91.59	100	8.85	59.36	62	35.04	50
RS	Cruzeiro do Sul	2024	59.61	95.45	50	23.86	50.06	53	56.64	37
RS	Esmeralda	2024	44.12	74.28	0	76.59	57.29	32	39.37	23
RS	Horizontina	2024	69.04	89.80	100	25.98	60.36	40	76.26	67
RS	São Lourenço do Sul	2024	58.43	74.12	100	20.79	48.89	65	36.01	75
MS	Deodápolis	2024	61.58	86.81	100	17.59	63.65	34	47.06	73
MT	Acorizal	2024	45.37	52.74	50	40.08	60.71	49	16.03	74
MT	Campos de Júlio	2024	60.93	80.85	100	98.88	64.33	50	18.47	31
MT	Feliz Natal	2024	44.21	60.44	50	18.93	56.01	39	68.63	48
GO	Adelândia	2024	48.37	91.34	50	43.54	69.19	1	14.48	16
GO	Anhanguera	2024	64.96	97.36	50	100.00	56.10	44	15.20	43
GO	Baliza	2024	17.61	31.47	0	29.99	27.73	2	2.85	50
GO	Goiás	2024	48.38	73.91	100	12.38	56.82	63	21.83	39
GO	Ipameri	2024	49.72	74.28	100	13.38	52.21	53	33.03	53
GO	Jaupaci	2024	46.82	83.29	100	33.94	19.03	39	1.19	66
GO	Nova Veneza	2024	71.03	96.69	100	25.54	73.69	60	33.25	67
GO	Petrolina de Goiás	2024	57.19	77.74	100	20.88	55.08	59	20.86	72
GO	São Domingos	2024	40.14	55.47	100	31.31	40.16	1	4.02	57
GO	Vila Boa	2024	45.87	76.56	50	35.84	69.77	41	14.04	54
RO	Parecis	2023	30.68	46.00	0	20.19	58.14	61	15.09	44
AM	Rio Preto da Eva	2023	52.88	59.64	100	9.19	70.18	50	5.06	71
PA	Canaã dos Carajás	2023	64.53	85.51	100	6.75	89.93	54	18.26	88
PA	Curralinho	2023	18.10	37.12	0	3.07	36.15	8	2.88	59
PA	Pau D'Arco	2023	51.04	61.40	100	9.01	61.23	25	7.12	82
PA	Santa Luzia do Pará	2023	46.85	56.81	100	4.09	53.73	34	4.99	58
PA	Tracuateua	2023	43.91	71.52	100	4.37	31.07	16	3.64	60
TO	Nazaré	2023	31.52	65.35	0	18.43	47.92	70	0.58	77
TO	Pium	2023	24.11	57.31	0	8.76	31.50	50	5.08	54
MA	Araguanã	2023	45.81	58.32	100	11.17	52.15	43	4.93	17
MA	Barão de Grajaú	2023	44.11	57.60	100	4.39	39.03	3	14.97	55
MA	Bela Vista do Maranhão	2023	54.60	81.19	100	7.09	57.18	47	13.20	61
MA	Bom Jesus das Selvas	2023	50.59	64.41	100	7.28	50.73	64	3.42	76
MA	Cândido Mendes	2023	28.28	78.71	0	5.22	54.98	2	1.12	58
MA	Governador Newton Bello	2023	44.06	51.19	100	5.83	38.66	72	6.17	29
MA	Nova Colinas	2023	48.33	56.84	100	8.30	55.18	32	1.12	83
MA	Timbiras	2023	49.10	64.70	100	2.36	43.37	66	4.29	80
MA	Vila Nova dos Martírios	2023	47.26	61.38	100	4.02	50.76	68	8.41	17
PI	Bela Vista do Piauí	2023	50.30	70.04	100	15.27	66.93	25	2.14	30
PI	Bom Jesus	2023	57.40	77.74	100	7.95	88.75	46	15.00	11
PI	Jardim do Mulato	2023	22.93	65.22	0	14.95	39.39	12	3.89	16
PI	Santa Cruz do Piauí	2023	41.88	76.79	100	7.14	13.67	8	19.02	20
CE	Acopiara	2023	56.08	82.58	100	13.90	56.75	65	13.48	50
CE	Ipueiras	2023	54.29	89.86	100	10.75	34.77	78	10.66	72
CE	Paracuru	2023	60.94	98.67	100	8.07	67.12	78	11.68	58
CE	Piquet Carneiro	2023	49.47	76.25	100	10.03	34.67	44	6.35	80
RN	Campo Redondo	2023	29.47	90.02	0	8.15	21.00	73	13.90	35
RN	Jardim do Seridó	2023	61.17	90.73	100	5.36	78.48	71	14.88	50
RN	Monte Alegre	2023	57.69	97.93	100	2.71	50.80	75	13.19	67
RN	Passagem	2023	47.44	100.00	0	20.06	77.47	78	22.57	69
PB	Amparo	2023	32.12	90.21	0	18.64	64.07	8	3.11	18
PB	Guarabira	2023	62.86	98.92	100	4.35	71.98	87	17.74	53
PB	Teixeira	2023	53.47	93.80	100	4.27	60.06	61	4.14	19
PE	Camocim de São Félix	2023	63.73	100.00	100	4.78	80.29	67	15.36	65
PE	Cortês	2023	30.35	92.86	0	8.17	42.34	6	0.62	83
PE	Jaqueira	2023	55.34	99.75	100	6.10	58.83	30	0.19	76
PE	Saloá	2023	27.57	91.67	0	7.53	48.54	1	5.05	13
AL	Arapiraca	2023	67.67	99.71	100	9.85	90.11	76	10.98	95
AL	Belém	2023	43.52	99.93	0	17.64	90.82	27	0.75	87
AL	Matriz de Camaragibe	2023	57.46	97.81	100	6.98	68.22	41	5.13	59
SE	Barra dos Coqueiros	2023	66.85	100.00	100	10.03	88.04	59	18.72	78
SE	Moita Bonita	2023	54.71	99.86	100	5.65	65.67	14	0.38	61
SE	Pedra Mole	2023	39.13	97.81	0	22.49	91.01	6	3.34	21
SE	Santana do São Francisco	2023	37.80	99.93	0	8.50	54.19	86	0.08	70
BA	Bom Jesus da Serra	2023	40.28	42.50	100	4.28	39.06	10	2.50	66
BA	Camacan	2023	58.35	90.25	100	6.46	76.35	81	7.88	21
BA	Conceição da Feira	2023	60.69	98.94	100	6.01	79.70	82	0.21	50
BA	Igaporã	2023	48.56	60.00	100	4.02	45.54	79	0.48	73
BA	Lajedinho	2023	21.05	36.25	0	17.71	24.89	44	1.98	80
BA	Oliveira dos Brejinhos	2023	15.15	24.04	0	4.02	41.55	12	7.05	9
BA	Pé de Serra	2023	29.06	73.22	0	6.29	50.16	58	2.93	38
BA	Ponto Novo	2023	51.20	76.66	100	5.80	50.27	46	13.84	42
BA	Rio de Contas	2023	19.55	35.08	0	3.16	37.55	9	7.39	68
BA	Rodelas	2023	49.75	88.46	100	4.04	15.82	68	19.62	56
BA	Vereda	2023	38.45	27.43	100	10.41	35.60	13	0.63	79
MG	Araxá	2023	69.57	99.27	100	13.80	90.62	88	26.51	56
MG	Bela Vista de Minas	2023	56.03	99.38	100	12.29	47.55	72	15.30	21
MG	Brazópolis	2023	57.94	83.67	100	8.77	62.00	78	29.93	7
MG	Conceição das Alagoas	2023	66.32	96.04	100	11.74	79.38	89	24.46	56
MG	Divinolândia de Minas	2023	61.95	89.41	100	9.59	78.92	65	15.27	61
MG	Guidoval	2023	42.64	96.56	0	11.68	68.98	64	38.01	9
MG	Iapu	2023	33.40	92.97	0	8.66	53.05	52	1.11	51
MG	Ijaci	2023	63.73	99.67	100	8.92	71.28	64	26.37	54
MG	Ipaba	2023	40.39	99.74	0	4.86	71.92	65	13.07	46
MG	José Raydan	2023	34.96	77.52	0	19.52	59.62	53	0.32	78
MG	Laranjal	2023	39.70	98.82	0	13.97	72.78	46	3.75	63
MG	Monte Carmelo	2023	64.61	95.25	100	11.35	80.06	65	16.85	78
MG	Onça de Pitangui	2023	69.02	83.85	100	49.10	90.20	51	23.50	62
MG	Ouro Verde de Minas	2023	34.19	78.42	0	10.85	57.32	61	3.52	71
MG	Santo Antônio do Jacinto	2023	51.49	67.50	100	8.07	54.26	54	8.78	62
MG	São José da Barra	2023	62.04	88.78	100	24.05	90.49	65	12.03	7
MG	Umburatiba	2023	32.63	60.31	0	23.28	56.03	66	1.85	74
ES	Boa Esperança	2023	60.33	90.47	100	12.24	83.91	25	7.59	75
ES	Muniz Freire	2023	53.38	72.14	100	14.91	60.25	21	12.16	69
ES	Santa Teresa	2023	59.20	78.91	100	15.52	81.85	26	29.30	18
ES	São Mateus	2023	65.09	93.09	100	14.14	89.88	28	17.73	89
RJ	Porto Real	2023	69.01	100.00	100	12.27	86.59	72	29.67	67
RJ	Queimados	2023	63.84	100.00	100	8.15	83.95	82	14.81	35
SP	Itaquaquecetuba	2023	69.00	100.00	100	5.19	89.76	91	17.61	91
SP	Marabá Paulista	2023	56.19	70.49	100	18.22	48.27	35	37.98	56
SP	Paranapuã	2023	42.39	97.78	0	25.83	91.02	26	0.63	57
SP	Porto Ferreira	2023	67.87	99.58	100	5.14	81.65	76	29.07	78
SP	Pradópolis	2023	65.99	99.65	100	14.63	87.04	75	11.24	66
SP	Salesópolis	2023	62.32	89.95	100	12.33	89.84	26	21.28	46
SP	Santa Cruz da Esperança	2023	68.56	92.11	100	49.21	90.28	62	23.84	19
SP	Tapiratiba	2023	62.33	91.83	100	5.29	78.06	63	24.09	47
PR	Bela Vista da Caroba	2023	53.70	87.67	100	15.50	50.25	52	4.88	53
PR	Cambé	2023	65.82	99.48	100	4.27	66.12	88	27.76	87
PR	Campina da Lagoa	2023	56.66	89.54	100	7.95	47.51	74	16.01	65
PR	Colombo	2023	69.09	99.95	100	8.97	89.79	78	28.98	61
PR	Marilândia do Sul	2023	62.01	95.35	100	14.40	81.43	52	4.89	73
PR	Ortigueira	2023	58.40	59.81	100	16.36	73.71	83	10.14	86
PR	Santa Mariana	2023	63.81	99.17	100	9.41	73.16	67	21.69	62
PR	São Pedro do Paraná	2023	58.71	60.30	100	39.13	63.79	71	11.56	80
SC	Florianópolis	2023	76.05	99.99	100	15.08	91.18	93	49.53	80
SC	Presidente Getúlio	2023	65.67	95.23	100	5.20	78.61	82	20.70	84
SC	São José	2023	73.34	100.00	100	8.09	90.02	89	42.13	80
SC	Timbé do Sul	2023	54.09	72.03	100	19.33	56.36	22	18.42	63
RS	Amaral Ferrador	2023	53.17	51.36	100	11.77	73.27	15	19.86	72
RS	Cachoeirinha	2023	70.27	100.00	100	9.63	90.29	88	20.15	96
RS	Capela de Santana	2023	61.29	99.99	100	14.93	81.33	42	20.79	7
RS	Fontoura Xavier	2023	54.06	70.39	100	13.08	60.10	77	11.40	37
RS	Independência	2023	54.98	75.57	100	9.72	58.30	40	18.56	64
RS	Ipiranga do Sul	2023	56.18	77.55	100	36.32	31.26	27	30.97	80
RS	Jaquirana	2023	58.16	67.66	100	22.57	84.17	21	9.97	77
RS	Lajeado	2023	71.59	99.86	100	6.89	90.29	70	36.27	92
RS	Monte Belo do Sul	2023	56.87	93.51	100	16.29	57.99	7	21.89	54
RS	Pedras Altas	2023	42.99	32.47	100	30.31	32.02	24	11.75	63
RS	Serafina Corrêa	2023	63.95	98.06	100	7.37	74.52	62	35.66	28
RS	Três de Maio	2023	62.66	88.15	100	6.69	74.62	46	24.65	87
RS	Vila Lângaro	2023	48.39	81.20	100	30.05	22.93	31	10.86	39
MT	Campo Verde	2023	70.73	82.09	100	12.14	89.75	70	53.92	62
MT	São José dos Quatro Marcos	2023	57.12	80.57	100	5.83	78.25	34	10.66	62
MT	Terra Nova do Norte	2023	49.49	52.63	100	9.81	63.61	20	13.58	56
MT	Nova Monte Verde	2023	36.34	49.71	100	5.01	6.97	18	6.32	60
GO	Cidade Ocidental	2023	65.03	98.97	100	6.35	70.21	86	21.53	79
GO	Damianópolis	2023	37.25	65.83	0	16.57	90.52	24	15.18	40
GO	Porteirão	2023	65.50	94.44	100	25.58	90.41	2	22.55	75
RO	Colorado do Oeste	2022	39.87	79.29	0	6.38	91.75	72	1.43	59
AM	Amaturá	2022	29.25	71.16	0	4.62	43.66	53	0.14	84
AM	Boa Vista do Ramos	2022	24.90	51.71	0	4.20	41.43	60	0.27	68
RR	São João da Baliza	2022	49.08	72.34	100	5.64	54.60	31	3.25	53
TO	Piraquê	2022	25.47	40.94	0	14.60	66.66	4	1.26	58
TO	Rio dos Bois	2022	49.99	59.55	100	18.25	55.25	47	9.01	41
MA	Altamira do Maranhão	2022	24.83	38.11	0	7.75	66.82	39	8.93	10
MA	Lago da Pedra	2022	52.95	79.01	100	2.25	68.03	79	5.90	7
MA	Maracaçumé	2022	53.44	90.66	100	3.15	59.99	26	1.74	73
MA	Rosário	2022	51.62	80.64	100	3.03	54.76	80	5.87	20
MA	Sambaíba	2022	24.75	54.38	0	5.98	40.36	39	2.48	71
PI	Beneditinos	2022	48.59	67.73	100	5.06	56.55	11	1.26	80
PI	Currais	2022	13.22	24.69	0	10.32	15.00	8	0.70	70
PI	Francinópolis	2022	54.87	88.22	100	7.40	61.16	65	8.60	29
PI	Morro do Chapéu do Piauí	2022	46.93	57.56	100	7.78	48.08	53	3.29	53
PI	Pedro II	2022	52.33	72.70	100	3.52	53.93	73	10.56	48
CE	Santana do Cariri	2022	50.59	83.38	100	5.90	46.66	56	8.86	29
CE	Sobral	2022	67.91	97.90	100	6.32	85.59	75	26.53	77
RN	Bom Jesus	2022	51.12	99.14	100	3.35	58.05	16	6.35	10
RN	Jardim de Piranhas	2022	52.32	88.67	100	5.96	59.37	28	11.33	23
RN	Lagoa Salgada	2022	63.14	96.51	100	4.01	92.53	63	11.60	44
RN	Ouro Branco	2022	28.27	86.34	0	10.17	42.64	9	16.58	8
RN	Porto do Mangue	2022	23.78	57.45	0	12.75	43.74	35	6.73	11
PB	Umbuzeiro	2022	49.83	76.10	100	5.48	57.14	20	0.52	67
PE	Agrestina	2022	39.22	99.72	0	3.50	69.34	56	9.92	57
PE	Belém de Maria	2022	56.04	99.75	100	6.42	50.12	67	0.28	78
PE	Camutanga	2022	63.74	100.00	100	8.60	87.42	60	7.39	66
PE	Jaqueira	2022	54.24	99.80	100	4.88	54.55	30	0.24	74
AL	Paripueira	2022	63.63	95.99	100	6.02	83.29	80	8.13	73
SE	Rosário do Catete	2022	63.87	100.00	100	8.96	90.53	41	20.13	37
SE	Santa Rosa de Lima	2022	32.00	98.64	0	12.69	30.30	83	0.10	47
BA	Barro Alto	2022	31.33	93.66	0	8.67	50.82	45	8.63	5
BA	Caculé	2022	55.60	68.12	100	2.97	68.58	44	23.98	57
BA	Caldeirão Grande	2022	55.29	94.18	100	8.92	50.27	34	19.43	48
BA	Dom Basílio	2022	45.37	45.11	100	4.21	43.87	49	8.63	71
BA	Igrapiúna	2022	48.79	68.00	100	8.87	40.38	61	2.13	72
BA	Rio do Pires	2022	49.56	73.65	100	9.52	42.34	39	1.04	87
BA	Salinas da Margarida	2022	35.79	99.98	0	6.67	52.23	73	0.99	58
BA	São José da Vitória	2022	55.85	91.82	100	9.40	58.32	51	1.43	76
MG	Barra Longa	2022	56.31	73.17	100	11.76	52.20	66	20.25	77
MG	Belmiro Braga	2022	39.62	85.86	0	30.81	83.52	13	1.50	69
MG	Campestre	2022	58.95	87.37	100	6.44	65.68	27	26.73	68
MG	Cana Verde	2022	33.65	97.15	0	12.64	59.72	15	15.75	5
MG	Curral de Dentro	2022	51.69	86.85	100	9.00	65.82	1	10.01	22
MG	Engenheiro Caldas	2022	55.85	99.15	100	7.34	51.30	64	5.01	58
MG	Francisco Sá	2022	55.89	70.10	100	6.39	59.70	82	15.23	67
MG	Joaíma	2022	31.69	74.89	0	3.60	47.88	68	4.57	74
MG	Maria da Fé	2022	59.96	95.47	100	7.02	59.51	72	13.75	77
MG	Mário Campos	2022	62.81	99.95	100	4.20	79.13	50	19.06	61
MG	Piedade de Ponte Nova	2022	41.50	99.49	0	12.57	66.94	59	33.22	7
MG	Piranga	2022	26.82	65.27	0	8.81	46.82	16	7.99	54
MG	Riacho dos Machados	2022	46.25	63.90	100	7.61	53.04	1	5.19	55
MG	Rio Pomba	2022	63.92	95.01	100	2.87	78.80	59	19.67	86
MG	Santo Antônio do Amparo	2022	58.36	93.42	100	7.71	64.86	19	26.03	51
MG	Senhora dos Remédios	2022	59.53	98.51	100	9.63	64.66	56	20.24	34
MG	Ubá	2022	65.42	99.85	100	5.96	80.89	63	26.20	59
MG	Urucânia	2022	63.91	97.82	100	6.29	69.88	70	26.65	66
ES	Nova Venécia	2022	56.42	71.99	100	9.51	81.24	36	13.86	46
ES	Pinheiros	2022	54.83	82.51	100	6.97	70.32	14	5.40	78
ES	São Gabriel da Palha	2022	58.83	97.46	100	4.65	77.30	26	11.56	54
RJ	Sumidouro	2022	65.82	93.86	100	9.86	71.51	61	39.96	62
SP	Americana	2022	73.43	100.00	100	5.13	90.13	84	48.18	74
SP	Araçatuba	2022	73.52	99.17	100	8.74	92.00	82	43.07	82
SP	Bofete	2022	67.38	88.02	100	19.11	92.48	89	24.49	40
SP	Conchal	2022	65.43	99.75	100	4.74	77.18	72	31.25	49
SP	Dracena	2022	67.07	99.76	100	6.23	85.02	37	30.36	86
SP	Ferraz de Vasconcelos	2022	66.41	100.00	100	2.79	84.19	89	16.04	78
SP	Gastão Vidigal	2022	56.15	99.23	100	15.37	71.44	44	0.96	15
SP	Guatapará	2022	65.69	95.38	100	13.66	86.12	45	19.54	82
SP	Mairinque	2022	70.12	99.97	100	9.33	91.51	75	27.90	78
SP	Miracatu	2022	68.26	88.72	100	23.35	92.50	80	23.67	54
SP	Mombuca	2022	65.16	96.77	100	17.90	64.87	68	28.80	75
SP	Pedregulho	2022	59.68	88.90	100	10.73	82.50	68	10.21	25
SP	Pradópolis	2022	66.32	99.66	100	11.71	87.57	77	12.29	71
SP	Santa Bárbara d'Oeste	2022	71.30	99.97	100	6.27	85.64	87	39.05	77
SP	Santo Antônio do Pinhal	2022	64.24	96.63	100	21.02	87.88	69	9.14	42
SP	São Bento do Sapucaí	2022	57.67	84.93	100	5.70	64.95	49	25.12	40
SP	São Sebastião da Grama	2022	58.09	86.72	100	4.79	53.85	75	34.20	25
SP	Turmalina	2022	63.61	100.00	100	29.95	92.65	9	2.73	68
SP	Vargem	2022	69.16	97.28	100	11.09	90.65	63	27.87	81
PR	Antonina	2022	61.95	91.89	100	11.97	64.16	84	28.86	34
PR	Assaí	2022	63.57	89.06	100	6.04	81.09	85	11.83	82
PR	Campo do Tenente	2022	61.76	93.83	100	11.09	71.78	85	5.97	74
PR	Miraselva	2022	40.72	99.60	0	16.95	65.17	23	22.77	58
PR	Santa Isabel do Ivaí	2022	62.07	94.31	100	9.35	70.22	67	19.30	63
PR	Sertaneja	2022	57.90	82.48	100	11.87	67.88	68	21.74	20
PR	Tibagi	2022	60.36	75.77	100	14.19	69.88	73	16.62	80
SC	Bela Vista do Toldo	2022	41.99	43.60	100	8.51	39.54	14	2.28	78
SC	Curitibanos	2022	75.54	94.09	100	6.66	80.26	90	84.00	34
SC	Paial	2022	45.22	92.06	0	34.58	92.64	35	2.19	83
SC	Rancho Queimado	2022	71.31	78.10	100	25.40	92.66	60	62.33	28
SC	São João do Sul	2022	61.72	95.97	100	13.45	74.40	82	12.77	36
SC	Trombudo Central	2022	66.71	98.65	100	9.16	84.87	63	24.07	71
RS	Alto Feliz	2022	55.73	94.58	100	16.27	61.77	4	26.57	9
RS	Barra do Guarita	2022	36.65	89.33	0	10.54	45.24	64	23.73	52
RS	Bossoroca	2022	49.31	60.14	100	8.49	54.03	50	7.42	55
RS	Campina das Missões	2022	51.47	77.57	100	8.50	57.78	17	3.13	77
RS	Canudos do Vale	2022	52.01	69.41	100	30.18	35.95	68	10.57	56
RS	Charqueadas	2022	70.82	99.70	100	7.14	91.54	60	39.08	76
RS	Dois Irmãos	2022	67.60	100.00	100	6.51	83.29	57	45.26	32
RS	Encantado	2022	67.45	98.48	100	4.35	72.41	76	35.33	85
RS	Faxinalzinho	2022	56.37	90.70	100	13.22	76.45	9	1.06	66
RS	General Câmara	2022	61.70	96.09	100	13.13	70.89	36	21.39	66
RS	Itatiba do Sul	2022	28.80	72.33	0	10.39	47.21	17	3.33	75
RS	Porto Mauá	2022	33.00	92.15	0	23.33	46.77	5	3.20	75
RS	Santo Antônio da Patrulha	2022	65.34	90.82	100	8.92	79.26	57	36.19	56
RS	Santo Antônio das Missões	2022	56.87	63.53	100	11.32	73.49	32	27.44	58
RS	São José do Sul	2022	66.62	99.95	100	21.87	92.88	2	31.91	49
RS	Unistalda	2022	55.27	51.93	100	16.70	93.32	16	5.91	74
RS	Vila Flores	2022	63.83	95.45	100	13.71	74.77	56	40.58	9
MT	Apiacás	2022	31.99	75.83	0	3.88	71.61	12	8.86	43
MT	Cuiabá	2022	72.11	99.33	100	10.62	92.42	86	32.79	82
